dataset,param_tag,root_features_dropped,tgb_acc_baseline,tgb_acc_ablated,gosdt_acc_baseline,gosdt_acc_ablated,overlap_baseline,overlap_ablated
diabetes_smote,nest200_depth1,number_inpatient,0.6330238651250214,0.6104118015606311,0.6125192231018967,0.5854075297602096,0.5,0.5
diabetes_smote,nest200_depth2,number_inpatient,0.6330238651250214,0.6145696873042091,0.6010707979723188,0.553454462607507,0.6,0.2857142857142857
diabetes_smote,nest200_depth3,number_inpatient,0.6322264623796776,0.615424047388506,0.6007860112775532,0.553454462607507,0.6,0.2857142857142857
diabetes_smote,nest20_depth2,number_inpatient,0.6212906533006778,0.5914450076892408,0.6145127299652561,0.5752691234265536,0.5,0.5555555555555556
diabetes_smote,nest20_depth3,number_inpatient,0.627385088568662,0.608532209375178,0.6109813749501624,0.5703138349376317,0.5,0.4
diabetes_smote,nest25_depth1,number_inpatient,0.6124622657629436,0.5670103092783505,0.6073361052571624,0.5549353534202882,0.8,0.75
diabetes_smote,nest25_depth2,number_inpatient,0.6262459417895996,0.5981659736857095,0.6075069772740218,0.575952611493991,0.5714285714285714,0.5
diabetes_smote,nest25_depth3,number_inpatient,0.626872472518084,0.6113800763228342,0.6109813749501624,0.5853505724212564,0.5,0.45454545454545453
diabetes_smote,nest30_depth1,number_inpatient,0.6123483510850373,0.5801674545765222,0.6073361052571624,0.5777182890015379,0.5,1.0
diabetes_smote,nest30_depth2,number_inpatient,0.6243093922651933,0.607165233240303,0.6037477929031155,0.5765221848835222,0.4444444444444444,0.5714285714285714
diabetes_smote,nest30_depth3,number_inpatient,0.6338212678703651,0.6089309107478499,0.6159366634390842,0.5753260807655066,0.5,0.5
diabetes_smote,nest35_depth1,number_inpatient,0.6056843424275218,0.5657572478213818,0.6012986273281312,0.5657002904824286,0.75,1.0
diabetes_smote,nest35_depth2,number_inpatient,0.6274420459076152,0.6077348066298343,0.6037477929031155,0.5781739477131629,0.4444444444444444,0.4444444444444444
diabetes_smote,nest35_depth3,number_inpatient,0.6335934385145526,0.6113800763228342,0.6098422281710999,0.5753260807655066,0.5555555555555556,0.5
diabetes_smote,nest40_depth1,number_inpatient,0.6123483510850373,0.5801674545765222,0.6073361052571624,0.5777182890015379,0.5,1.0
diabetes_smote,nest40_depth2,number_inpatient,0.6309734009227089,0.6077348066298343,0.6186706157088341,0.5823887907956941,0.4444444444444444,0.45454545454545453
diabetes_smote,nest40_depth3,number_inpatient,0.6330808224639745,0.6116648630175998,0.6099561428490061,0.5798257105428034,0.5555555555555556,0.5
diabetes_smote,nest5_depth2,number_inpatient,0.5969698695676938,0.5460500085436009,0.5969698695676938,0.5460500085436009,0.5,1.0
diabetes_smote,nest5_depth3,number_inpatient,0.6068804465455374,0.5716808110725067,0.6012986273281312,0.5716808110725067,0.6,1.0
heloc_original,nest100_depth1,ExternalRiskEstimate,0.7299235181644359,0.6988527724665392,0.6978967495219885,0.6955066921606119,0.5,0.6666666666666666
heloc_original,nest100_depth2,ExternalRiskEstimate,0.7289674952198852,0.7222753346080306,0.6902485659655831,0.6687380497131931,0.6,0.5
heloc_original,nest100_depth3,ExternalRiskEstimate,0.7280114722753346,0.7174952198852772,0.6907265774378585,0.6687380497131931,0.6,0.5
heloc_original,nest10_depth2,ExternalRiskEstimate,0.722753346080306,0.6677820267686424,0.7108030592734226,0.6687380497131931,0.6,1.0
heloc_original,nest10_depth3,ExternalRiskEstimate,0.7237093690248566,0.6735181644359465,0.7108030592734226,0.6696940726577438,0.8,1.0
heloc_original,nest15_depth1,ExternalRiskEstimate,0.7184512428298279,0.6457934990439771,0.7127151051625239,0.6472275334608031,0.6666666666666666,0.5
heloc_original,nest15_depth2,ExternalRiskEstimate,0.7265774378585086,0.7050669216061185,0.7088910133843213,0.7007648183556405,0.6666666666666666,0.8
heloc_original,nest15_depth3,ExternalRiskEstimate,0.7256214149139579,0.7151051625239006,0.7146271510516252,0.6935946462715105,0.5714285714285714,0.8
heloc_original,nest200_depth1,ExternalRiskEstimate,0.7294455066921606,0.719885277246654,0.7012428298279159,0.6878585086042065,0.5714285714285714,0.6666666666666666
heloc_original,nest200_depth2,ExternalRiskEstimate,0.7265774378585086,0.7179732313575525,0.6902485659655831,0.6687380497131931,0.6,0.5
heloc_original,nest200_depth3,ExternalRiskEstimate,0.7265774378585086,0.7237093690248566,0.6950286806883366,0.6687380497131931,0.6,0.5
heloc_original,nest20_depth1,ExternalRiskEstimate,0.7174952198852772,0.6472275334608031,0.7127151051625239,0.6472275334608031,0.6666666666666666,0.5
heloc_original,nest20_depth2,ExternalRiskEstimate,0.7251434034416826,0.7160611854684512,0.7045889101338432,0.6974187380497132,0.6666666666666666,1.0
heloc_original,nest20_depth3,ExternalRiskEstimate,0.7222753346080306,0.7103250478011472,0.7136711281070746,0.7002868068833652,0.5714285714285714,0.8
heloc_original,nest25_depth1,ExternalRiskEstimate,0.7222753346080306,0.6792543021032504,0.7170172084130019,0.6739961759082218,0.8,1.0
heloc_original,nest25_depth2,ExternalRiskEstimate,0.7308795411089866,0.7146271510516252,0.7045889101338432,0.6912045889101338,0.6666666666666666,0.8
heloc_original,nest25_depth3,ExternalRiskEstimate,0.7284894837476099,0.7151051625239006,0.7103250478011472,0.6988527724665392,0.8,0.8
