dataset,param_tag,root_features_dropped,tgb_acc_baseline,tgb_acc_ablated,praxis_acc_baseline,praxis_acc_ablated,overlap_baseline,overlap_ablated
diabetes,nest200_depth3,number_inpatient,0.6375650977694802,0.6099538174314632,0.6155546821263633,0.5811142772919328,0.16666666666666666,0.25
diabetes,nest20_depth1,num_medications,0.6333333333333333,0.6166666666666667,0.6333333333333333,0.6166666666666667,0.6666666666666666,1.0
diabetes,nest20_depth2,num_medications,0.7,0.6833333333333333,0.7333333333333333,0.7,0.46153846153846156,0.5454545454545454
diabetes,nest20_depth3,num_medications,0.6833333333333333,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.35714285714285715,0.45454545454545453
diabetes,nest25_depth1,num_medications,0.65,0.6333333333333333,0.65,0.6333333333333333,0.75,1.0
diabetes,nest25_depth2,num_medications,0.7,0.6666666666666666,0.7333333333333333,0.7,0.46153846153846156,0.4166666666666667
diabetes,nest25_depth3,num_medications,0.6833333333333333,0.7,0.7166666666666667,0.7166666666666667,0.35714285714285715,0.36363636363636365
diabetes,nest30_depth1,num_medications,0.6833333333333333,0.6166666666666667,0.6833333333333333,0.6333333333333333,1.0,0.8
diabetes,nest30_depth2,num_medications,0.6833333333333333,0.65,0.7333333333333333,0.7,0.46153846153846156,0.38461538461538464
diabetes,nest30_depth3,num_medications,0.7166666666666667,0.65,0.7666666666666667,0.65,0.3125,0.1875
diabetes,nest35_depth1,num_medications,0.6333333333333333,0.5833333333333334,0.6333333333333333,0.65,0.8571428571428571,0.8333333333333334
diabetes,nest35_depth2,num_medications,0.6833333333333333,0.6666666666666666,0.7333333333333333,0.7,0.46153846153846156,0.2857142857142857
diabetes,nest35_depth3,num_medications,0.7166666666666667,0.6833333333333333,0.7833333333333333,0.6333333333333333,0.3125,0.23076923076923078
diabetes,nest40_depth1,number_inpatient,0.6253807605384691,0.5863220988503488,0.6155546821263633,0.5811142772919328,0.2,0.5
diabetes,nest40_depth2,number_inpatient,0.6358455340473617,0.6057777341063182,0.6155546821263633,0.5811142772919328,0.16666666666666666,0.25
diabetes,nest40_depth3,number_inpatient,0.6375650977694802,0.6112312076250368,0.6155546821263633,0.5811142772919328,0.16666666666666666,0.25
diabetes,nest5_depth2,num_medications,0.55,0.6,0.55,0.6,1.0,1.0
diabetes,nest5_depth3,num_medications,0.7166666666666667,0.7333333333333333,0.7,0.6666666666666666,0.35714285714285715,0.3333333333333333
diabetes_oversampled,nest100_depth1,number_inpatient,0.6266446431622714,0.5962294241613032,0.6041464942757875,0.5569288602836475,0.16666666666666666,0.4
diabetes_oversampled,nest100_depth2,number_inpatient,0.6320555903628182,0.6089878680868029,0.6041464942757875,0.5569288602836475,0.16666666666666666,0.3333333333333333
diabetes_oversampled,nest100_depth3,number_inpatient,0.6315429743122402,0.6102978868827248,0.6041464942757875,0.5569288602836475,0.16666666666666666,0.3333333333333333
diabetes_oversampled,nest10_depth2,number_inpatient,0.6060260864612406,0.5658142051603349,0.6041464942757875,0.5658142051603349,0.3333333333333333,1.0
diabetes_oversampled,nest10_depth3,number_inpatient,0.6188984450646465,0.5598336845702568,0.6041464942757875,0.5569288602836475,0.2,0.5
diabetes_oversampled,nest15_depth2,number_inpatient,0.6233411175029903,0.5880275673520533,0.6041464942757875,0.5569288602836475,0.16666666666666666,0.4
diabetes_oversampled,nest15_depth3,number_inpatient,0.6274420459076152,0.6010138406333656,0.6041464942757875,0.5569288602836475,0.16666666666666666,0.3333333333333333
diabetes_oversampled,nest200_depth1,number_inpatient,0.6306316568889901,0.6035199635473031,0.6041464942757875,0.5569288602836475,0.16666666666666666,0.3333333333333333
diabetes_oversampled,nest200_depth2,number_inpatient,0.6320555903628182,0.6118926923734123,0.6041464942757875,0.5569288602836475,0.16666666666666666,0.3333333333333333
diabetes_oversampled,nest200_depth3,number_inpatient,0.6315429743122402,0.6132027111693341,0.6041464942757875,0.5569288602836475,0.16666666666666666,0.3333333333333333
diabetes_oversampled,nest20_depth1,number_inpatient,0.6188984450646465,0.5598336845702568,0.6041464942757875,0.5569288602836475,0.2,0.5
diabetes_oversampled,nest20_depth2,number_inpatient,0.6239676482314747,0.5866036338782252,0.6041464942757875,0.5569288602836475,0.16666666666666666,0.4
diabetes_oversampled,nest20_depth3,number_inpatient,0.6261889844506464,0.5981659736857095,0.6041464942757875,0.5569288602836475,0.16666666666666666,0.3333333333333333
diabetes_oversampled,nest25_depth1,number_inpatient,0.6188984450646465,0.5598336845702568,0.6041464942757875,0.5569288602836475,0.2,0.5
diabetes_oversampled,nest25_depth2,number_inpatient,0.627385088568662,0.5975964002961781,0.6041464942757875,0.5569288602836475,0.16666666666666666,0.3333333333333333
diabetes_oversampled,nest25_depth3,number_inpatient,0.6293216380930683,0.6055704277496156,0.6041464942757875,0.5569288602836475,0.16666666666666666,0.3333333333333333
diabetes_oversampled,nest30_depth1,number_inpatient,0.617702340946631,0.5598336845702568,0.6041464942757875,0.5569288602836475,0.2,0.5
diabetes_oversampled,nest30_depth2,number_inpatient,0.6268155151791308,0.6001025232101156,0.6041464942757875,0.5569288602836475,0.16666666666666666,0.3333333333333333
diabetes_oversampled,nest30_depth3,number_inpatient,0.6296633821267871,0.6060260864612406,0.6041464942757875,0.5569288602836475,0.16666666666666666,0.3333333333333333
