n_estimators,max_depth,Model,Feature,Threshold (≤),Train AUC,Test AUC,Train-Test gap
200,2,TGB,V12,-2.1808799505233765,0.8844,0.9188,-0.0344
25,3,TGB,V12,-2.1808799505233765,0.8844,0.9188,-0.0344
15,3,TGB,V12,-2.1808799505233765,0.8844,0.9188,-0.0344
30,2,TGB,V12,-2.1808799505233765,0.8844,0.9188,-0.0344
25,2,TGB,V12,-2.1808799505233765,0.8844,0.9188,-0.0344
100,2,TGB,V12,-2.1808799505233765,0.8844,0.9188,-0.0344
30,3,TGB,V12,-2.1808799505233765,0.8844,0.9188,-0.0344
5,3,TGB,V12,-2.1808799505233765,0.8844,0.9188,-0.0344
20,3,TGB,V12,-2.1808799505233765,0.8844,0.9188,-0.0344
40,2,TGB,V12,-2.1808799505233765,0.8844,0.9188,-0.0344
35,2,TGB,V12,-2.1808799505233765,0.8844,0.9188,-0.0344
10,3,TGB,V12,-2.1808799505233765,0.8844,0.9188,-0.0344
40,3,TGB,V12,-2.1808799505233765,0.8844,0.9188,-0.0344
20,2,TGB,V12,-2.1808799505233765,0.8844,0.9188,-0.0344
15,2,TGB,V12,-2.1808799505233765,0.8844,0.9188,-0.0344
35,3,TGB,V10,-1.8473044037818909,0.8983,0.9155,-0.0172
5,3,TGB,V10,-1.8473044037818909,0.8983,0.9155,-0.0172
10,3,TGB,V10,-1.8473044037818909,0.8983,0.9155,-0.0172
25,3,TGB,V10,-1.8473044037818909,0.8983,0.9155,-0.0172
200,3,TGB,V10,-1.8473044037818909,0.8983,0.9155,-0.0172
100,3,TGB,V10,-1.8473044037818909,0.8983,0.9155,-0.0172
40,3,TGB,V10,-1.8473044037818909,0.8983,0.9155,-0.0172
20,3,TGB,V10,-1.8473044037818909,0.8983,0.9155,-0.0172
30,3,TGB,V10,-1.8473044037818909,0.8983,0.9155,-0.0172
15,3,TGB,V10,-1.8473044037818909,0.8983,0.9155,-0.0172
,,XGBoost,V3,2.9847,0.912,0.9124,-0.0004
,,XGBoost,V10,2.8733,0.9153,0.9092,0.0061
30,3,TGB,V12,-2.439581871032715,0.8787,0.9092,-0.0304
200,3,TGB,V12,-2.439581871032715,0.8787,0.9092,-0.0304
15,3,TGB,V12,-2.439581871032715,0.8787,0.9092,-0.0304
5,3,TGB,V12,-2.439581871032715,0.8787,0.9092,-0.0304
100,3,TGB,V12,-2.439581871032715,0.8787,0.9092,-0.0304
35,3,TGB,V12,-2.439581871032715,0.8787,0.9092,-0.0304
10,3,TGB,V12,-2.439581871032715,0.8787,0.9092,-0.0304
25,3,TGB,V12,-2.439581871032715,0.8787,0.9092,-0.0304
40,3,TGB,V12,-2.439581871032715,0.8787,0.9092,-0.0304
20,3,TGB,V12,-2.439581871032715,0.8787,0.9092,-0.0304
25,3,TGB,V14,-3.9138342142105103,0.8862,0.9021,-0.0159
15,3,TGB,V14,-3.9138342142105103,0.8862,0.9021,-0.0159
20,3,TGB,V14,-3.9138342142105103,0.8862,0.9021,-0.0159
100,3,TGB,V14,-3.9138342142105103,0.8862,0.9021,-0.0159
200,3,TGB,V14,-3.9138342142105103,0.8862,0.9021,-0.0159
40,3,TGB,V14,-3.9138342142105103,0.8862,0.9021,-0.0159
30,3,TGB,V14,-3.9138342142105103,0.8862,0.9021,-0.0159
35,3,TGB,V14,-3.9138342142105103,0.8862,0.9021,-0.0159
100,3,TGB,V4,1.7534670233726501,0.8787,0.8706,0.0081
25,3,TGB,V4,1.7534670233726501,0.8787,0.8706,0.0081
40,3,TGB,V4,1.7534670233726501,0.8787,0.8706,0.0081
15,3,TGB,V4,1.7534670233726501,0.8787,0.8706,0.0081
200,3,TGB,V4,1.7534670233726501,0.8787,0.8706,0.0081
20,3,TGB,V4,1.7534670233726501,0.8787,0.8706,0.0081
30,3,TGB,V4,1.7534670233726501,0.8787,0.8706,0.0081
35,3,TGB,V4,1.7534670233726501,0.8787,0.8706,0.0081
40,2,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
40,3,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
40,1,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
200,3,TGB,V17,-2.7144826650619507,0.8412,0.862,-0.0208
25,1,TGB,V17,-2.722497582435608,0.8399,0.862,-0.0221
25,1,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
40,1,TGB,V17,-2.722497582435608,0.8399,0.862,-0.0221
25,2,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
200,1,TGB,V17,-2.722497582435608,0.8399,0.862,-0.0221
100,3,TGB,V17,-2.7144826650619507,0.8412,0.862,-0.0208
200,1,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
100,1,TGB,V17,-2.722497582435608,0.8399,0.862,-0.0221
40,3,TGB,V17,-2.7144826650619507,0.8412,0.862,-0.0208
20,3,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
5,1,TGB,V17,-2.722497582435608,0.8399,0.862,-0.0221
100,1,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
35,3,TGB,V17,-2.7144826650619507,0.8412,0.862,-0.0208
30,3,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
100,3,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
30,2,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
